show_id,punctuation,type,title,director,cast,country,release_year,rating,duration_int,duration_type,listed_in
ns5407,3.7,tv show,unriddle,,"rui en, chen liping, tay ping hui, andie chen, xiang yun, joshua ang, zhou ying",singapore,2012,tv-14,2,season,"crime tv shows, international tv shows, tv dramas"
ns5408,3.5,tv show,world at your feet,,"ha yu, tay ping hui, jeanette aw, elvin ng, yvonne lim, zhang zhenhuan, vivian lai, ian fang, xu bin",singapore,2014,tv-14,1,season,"international tv shows, tv dramas"
ns5409,3.6,movie,yaar gaddar,umesh mehra,"mithun chakraborty, saif ali khan, somy ali, prem chopra, gulshan grover, puneet issar, himani shivpuri, johnny lever, yunus parvez, umesh shukla",india,1994,tv-14,148,min,"dramas, international movies"
ns541,3.6,tv show,the worst witch,,"bella ramsey, clare higgins, meibh campbell, raquel cassidy, jenny richardson, miriam petche, tallulah milligan, wendy craig, shauna shim","united kingdom, germany",2020,tv-g,4,season,"british tv shows, kids' tv"
ns5410,3.5,tv show,yes we can!,,"romeo tan, rebecca lim, sora ma, xu bin, chen liping, chen hanwei, yao wenlong, eelyn kok, dennis chew",singapore,2014,tv-14,1,season,"international tv shows, tv dramas"
ns5411,3.5,tv show,yours fatefully,,"kingone wang, jesseca liu, xiang yun, chen shucheng, eelyn kok, cavin soh, sora ma",singapore,2012,tv-14,1,season,"international tv shows, romantic tv shows, tv comedies"
ns5412,3.5,movie,zipi & zape y la isla del capitan,oskar santos,"teo planell, toni gómez, elena anaya, iria castellano, máximo pastor, ana blanco de córdova, fermí reixach, jorge bosch, carolina lapausa, goizalde núñez, juan codina",spain,2016,tv-pg,105,min,"children & family movies, comedies"
ns5413,3.5,tv show,criminal minds,,"mandy patinkin, joe mantegna, thomas gibson, shemar moore, matthew gray gubler, kirsten vangsness, a.j. cook, paget brewster, lola glaudini, jennifer love hewitt, jeanne tripplehorn","united states, canada",2017,tv-14,12,season,"crime tv shows, tv dramas, tv mysteries"
ns5414,3.5,tv show,gypsy,,"naomi watts, billy crudup, sophie cookson, karl glusman, poorna jagannathan, brooke bloom, lucy boynton, melanie liburd, brenda vaccaro, maren heary, blythe danner","united states, united kingdom",2017,tv-ma,1,season,tv dramas
ns5415,3.5,tv show,little witch academia,,"megumi han, fumiko orikasa, michiyo murase, yoko hikasa, arisa shida, rie murakawa, reina ueda, ryosuke kanemoto, junko takeuchi, noriko hidaka",japan,2017,tv-y7,2,season,"anime series, international tv shows"
ns5416,3.5,movie,okja,bong joon ho,"tilda swinton, jake gyllenhaal, an seo hyun, paul dano, steven yeun, byun heebong, lily collins, yoon je moon, shirley henderson, daniel henshall, devon bostick, woo shik choi, giancarlo esposito","south korea, united states",2017,tv-ma,121,min,"action & adventure, comedies, dramas"
ns5417,3.6,movie,chris d'elia: man on fire,bill d'elia,chris d'elia,united states,2017,tv-ma,66,min,stand-up comedy
ns5418,3.6,movie,i am michael,justin kelly,"james franco, zachary quinto, emma roberts, charlie carver, avan jogia, daryl hannah, lesley ann warren, jefferson mays, jan maxwell, ahna o'reilly",united states,2015,tv-ma,102,min,"dramas, lgbtq movies"
ns5419,3.6,movie,nobody speak: trials of the free press,brian knappenberger,,"netherlands, united states",2017,tv-14,96,min,documentaries
