show_id,punctuation,type,title,director,cast,country,release_year,rating,duration_int,duration_type,listed_in
as1,3.5,movie,the grand seduction,don mckellar,"brendan gleeson, taylor kitsch, gordon pinsent",canada,2014,g,113,min,"comedy, drama"
as10,3.4,movie,david's mother,robert allan ackerman,"kirstie alley, sam waterston, stockard channing",united states,1994,g,92,min,drama
as100,3.7,movie,wilder napalm,glenn gordon caron,"debra winger, dennis quaid, arliss howard, m. emmet walsh, jim varney",,1993,pg-13,109,min,"comedy, science fiction"
as1000,3.6,movie,sinbad: make me wanna holla,jay chapman,sinbad,,2014,16+,90,min,"arts, entertainment, and culture, comedy, documentary"
as1001,3.6,movie,simple gifts: the chamber music society at shaker village,habib azar,,,2016,g,84,min,documentary
as1002,3.6,tv show,simon's cat - classic collection,,,,2018,all,1,season,"animation, kids"
as1003,3.5,movie,silver wolf,peter svatek,"michael biehn, roy scheider, shane meier",,1999,g,98,min,"action, drama"
as1004,3.5,movie,silver stallion,edward f. finney,"david sharpe, janet waldo, leroy mason, thornton edwards, chief thundercloud",,1941,18+,59,min,western
as1005,3.6,movie,silver blaze,thomas bentley,"arthur wontner, ian fleming",,1937,nr,70,min,"action, suspense"
as1006,3.5,tv show,silver and gold,,,,2017,tv-nr,1,season,tv shows
as1007,3.5,tv show,silk,,"maxine peake, rupert penry-jones, neil stuke, alex jennings, phil davis, frances barber",,2014,tv-14,3,season,drama
as1008,3.5,tv show,silent witness,,"emilia fox, richard lintern, david caves",,2018,tv-ma,21,season,"drama, suspense"
as1009,3.5,movie,silent wings - the american glider pilots of wwii,robert child,"hal holbrook, walter cronkite, andy rooney, michael j. samek",,2007,7+,115,min,"documentary, special interest"
as101,3.5,tv show,wild north,,,,2014,7+,1,season,"documentary, special interest"
as1010,3.6,movie,silence patton,robert orlando,"don kruizinga, peter reznikoff",,2018,13+,85,min,documentary
as1011,3.4,movie,silence (tamil) (4k uhd),hemant madhukar,"anushka shetty, madhavan, anjali, michael madsen",,2020,16+,126,min,suspense
as1012,3.5,movie,silence (malayalam) (4k uhd),hemant madhukar,"anushka shetty, madhavan, anjali, michael madsen",,2020,16+,126,min,suspense
as1013,3.6,tv show,sigmund and the sea monsters,,"rebecca bloom, david arquette, solomon stewart, mark povinelli, eileen o’connell, drew massey, michael oosterom, victor yerrid, meegan godfrey, david crespin, kyle harrison breitkopf",,2017,7+,1,season,kids
as1014,3.5,tv show,sid the science kid,,"alice dinnean, donna kimball, drew massey, julianne buescher, victor yerrid",,2008,all,1,season,kids
as1015,3.6,movie,sick song & more nursery rhymes for kids - kiiyii,moonbug entertainment,,,2020,all,29,min,kids
as1016,3.5,movie,siberia (2018),matthew ross,"keanu reeves, molly ringwald, ana ularu, aleks paunovic",,2018,r,105,min,"action, adventure, suspense"
as1017,3.6,movie,shoutoutoutout,,,,2011,nr,35,min,music videos and concerts
as1018,3.6,movie,shottas,cess silvera,"ky-mani marley, spragga benz, louie rankin",,2002,r,99,min,"action, drama"
as1019,3.5,movie,shor se shuruaat,"rahul v. chittella, amira bhargava, annie zaidi, pratik rajen kothari, supriya sharma, arunima sharma, satish raj kasireddi",,,2016,18+,123,min,"drama, international"
as102,3.4,tv show,wild kratts,,"chris kratt, martin kratt, athena karkanis, jonathan malen, heather bambrick, zachary bennett, eva almos, cory doran, gavin kratt, aidan kratt, ronan kratt, addison holley, maya lowe, paige roughely, emilia mccarthy, zoe fraser, rachel marcus, nolan kratt, julie lemieux, amariah faulkner, christian martyn, jacob ewaniuk, jaclyn forbes, ian hanson, aiden kratt, charles vandervaart, jenna warren",,2011,tv-y,1,season,kids
as1020,3.6,tv show,shock and awe: the story of electricity,,jim al-khalili,,2011,all,1,season,documentary
as1021,3.6,tv show,shk heroforce,,"hope marie nixon, noah nixon, eden nixon, baker paffie, jordan sacchieri, emily perry, zane nixon, kenney myers, sophia clarke, elijah flanery",,2018,tv-pg,1,season,"action, kids"
as1022,3.5,movie,shivaay,ajay devgn,"ajay devgn, abigail eames, erika kaar",,2015,13+,154,min,"action, drama, international"
as1023,3.5,tv show,shipping wars,,,,2015,tv-14,4,season,"documentary, drama, unscripted"
as1024,3.5,movie,shinrin-yoku (forest bathing),mark knight,,,2019,g,60,min,"documentary, special interest"
as1025,3.6,tv show,shin chan spin-off vol.1  aliens vs. shinnosuke,,,,2016,tv-nr,1,season,anime
as1026,3.5,movie,sherlock holmes: the hound of the baskervilles,douglas hickox,"ian richardson, donald churchill, denholm elliott",,1983,13+,100,min,"action, horror, suspense"
as1027,3.5,movie,sherlock holmes & the woman in green,roy william neill,"basil rathbone, nigel bruce, hillary brooke, henry daniell, paul cavanagh, matthew boulton, eve amber, frederick worlock, tom bryson, sally shepherd, mary gordon, eve ashley, john burton, harold de becker, leslie denison, tony ellis, kay harding, alec harford, ivo henderson, tommy hughes, colin hunter, olaf hytten, boyd irwin, eric mayne, william h. o'brien, violet seaton, arthur stenning, percival vivian",,1945,13+,69,min,"drama, suspense"
as1028,3.5,movie,sherlock holmes & the secret weapon,roy william neill,"basil rathbone, nigel bruce, lionel atwill, kaaren verne, william post jr., dennis hoey, holmes herbert, mary gordon, rudolph anders, whit bissell, veda ann borg, paul bryar, john burton, vicki campbell, gerard cavin, harry cording, james craven, henry daniell, harold de becker, leslie denison, george eldredge, paul fix, leyland hodgson, guy kingsford, george burr macannan, michael mark, henry victor, harry woods",,1943,13+,71,min,"adventure, drama, suspense"
as1029,3.6,tv show,shepherd,,"lance e. nichols, kelvin harrison jr., alicia davis johnson, chelsea bryan",,2021,13+,1,season,drama
as103,3.6,movie,wild geese,andrew v. mclaglen,"richard burton, roger moore, richard harris",,2012,18+,135,min,action
as1030,3.6,movie,she's not our sister,vernon snoop robinson,"kellita smith, christian keyes, drew sidora",,2011,13+,88,min,drama
as1031,3.5,movie,shawn pelofsky: stretch it out,desmond devenish,shawn pelofsky,,2018,18+,61,min,"arts, entertainment, and culture, comedy, special interest"
as1032,3.5,tv show,shaun the sheep - the farmer's llamas,,"john sparkes, sean connolly, kate harbour, andy nyman",,2015,all,1,season,kids
as1033,3.5,tv show,shaun the sheep,,,,2012,tv-g,6,season,animation
as1034,3.6,movie,sharknado 5: global swarming,anthony c. ferrante,"ian ziering, tara reid, cassandra scerbo, billy barratt",,2017,13+,86,min,"action, comedy, horror"
as1035,3.5,movie,sharknado 4: the 4th awakens,anthony c. ferrante,"ian ziering, tara reid, david hasselhoff, gary busey, tommy davidson, cody linley, imani hakim",united states,2016,13+,85,min,"action, horror, science fiction"
as1036,3.5,movie,shark story: evolution of a master predator,christian darkin,,,2013,7+,54,min,"documentary, special interest"
as1037,3.6,movie,shapes song & more learning songs for kids - kiiyii,moonbug entertainment,,,2020,all,33,min,kids
as1038,3.6,movie,shao lin temple,hsin-yen chang,"jet li, chunhua ji, henry fong",,1982,13+,100,min,action
as1039,3.5,movie,shane mauss: mating season,jay chapman,shane mauss,,2013,18+,65,min,"arts, entertainment, and culture, comedy, special interest"
as104,3.6,movie,wild colombia revealed,mike slee,,,2016,7+,91,min,"documentary, special interest"
as1040,3.5,movie,shakuntala devi,anu menon,"vidya balan, sanya malhotra, jisshu sengupta,  amit sadh",india,2020,13+,127,min,drama
as1041,3.5,tv show,shakespeare uncovered,,"helen hunt, f. murray abraham, romola garai, brian cox, simon russell beale",,2018,tv-14,1,season,tv shows
as1042,3.6,tv show,shaitaan haveli,,"bhupesh singh, varun thakur, neha chauhan, pippa hughes, monica gupta",,2018,tv-nr,1,season,comedy
as1043,3.5,movie,shadow puppets,michael winnick,"james marsters, tony todd, marc winnick",,2007,16+,103,min,"horror, suspense"
as1044,3.4,tv show,shadow force,,bob parr,,2008,tv-pg,1,season,tv shows
as1045,3.5,movie,shadow company,"nick bicanic, jason bourque",james ashcroft,canada,2007,13+,44,min,documentary
as1046,3.6,movie,shadaa,jagdeep singh,"diljit dosanjh, neru bajwa, jagdeep sandhu",,2019,all,128,min,comedy
as1047,3.5,movie,shaadi mubarak,padmasri,"sagar rk naidu, drishya raghunath",india,2021,all,133,min,"comedy, drama"
as1048,3.4,movie,sex ed,isaac feder,"haley joel osment, lorenza izzo, kevin hernandez, retta, glen powell, castille landon, chris williams, ray santiago, abby elliott, parker young, laura harring, lamorne morris, isaac white, matt walsh",,2014,18+,92,min,"comedy, drama"
as1049,3.5,movie,seventeen (siebzhen),monja art,"elisabeth wabitsch, magdalena wabitsch, alexandra schmidt, leo plankensteiner",,2019,13+,106,min,"drama, lgbtq, romance"
as105,3.6,tv show,wild boys,,"daniel macpherson, michael dorman, alexander england, zoe ventoura, anna hutchison, jeremy sims, nathaniel dean, david field, caroline brazier, krew boylan",,2011,13+,1,season,"drama, western"
as1050,3.6,tv show,seven senses of the re’union,,"kengo takanashi, nichika ohmori, akari kito, kaito ishikawa, takuma terashima",,2018,tv-nr,1,season,tv shows
as1051,3.5,tv show,series_project_un_test_uhd,,"test actor 1, test actor 2",,2020,tv-g,1,season,"comedy, drama"
as1052,3.6,tv show,serial swindlers,,,,2018,7+,1,season,"documentary, special interest"
as1053,3.5,tv show,serbia: old and new,,laura alexandra,,2019,16+,1,season,"documentary, special interest"
as1054,3.5,movie,separate ways,howard avedis,"karen black, tony lo bianco",,1981,r,93,min,comedy
as1055,3.6,tv show,sentosha: battle wheels,,"chihara junior, masatoshi hamada",,2018,13+,1,season,"comedy, international, unscripted"
as1056,3.5,movie,sensitivity training,melissa finell,"anna lise phillips, jill alexander, quinn marcus, amy madigan, andy gala, amy vorpahl, gregory itzen, finnegan haid, michael laskin, charles haid",,2018,13+,86,min,comedy
as1057,3.6,movie,selfie dad,brad silverman,"michael jr., chonda pierce, james denton, karen abercrombie",,2020,pg,97,min,comedy
as1058,3.5,tv show,selena's secret,,"sofía lama, maya zapata, damayanti quintanar",,2018,tv-nr,1,season,drama
as1059,3.5,movie,selah and the spades,tayarisha poe,"lovie simone, jharrel jerome, celeste o’connor, jesse williams, gina torres, ana mulvoy ten, evan roe, francesca noel, henry hunter-hall, nekhebet juch, bella ferragamo, kristen ivy haynes, greyson cage, ben breault, krish bhuva, cody sloan, ali fisher, rae bell, melissa mcmeekin, ken israel",united states,2020,r,98,min,young adult audience
as106,3.6,movie,why we fight,eugene jarecki,"gore vidal, john mccain, ken adelman",,2006,pg-13,99,min,documentary
as1060,3.6,movie,"seeing, searching, being - william segal",ken burns,wiliam segal,,2010,g,74,min,documentary
as1061,3.5,tv show,seeing canada,,brandy yanchyk,,2019,13+,2,season,"documentary, special interest"
as1062,3.6,movie,seed of innocence,boaz davidson,"mary cannon, tim wead",,1980,r,92,min,drama
as1063,3.5,movie,section 375,ajay bahl,"akshaye khanna, richa chadha, meera chopra",,2019,18+,123,min,"drama, international"
as1064,3.5,tv show,secrets of the universe,,,,2015,all,1,season,"documentary, special interest"
as1065,3.5,tv show,secrets of the dead: the nero files,,jay o. sanders,,2019,tv-pg,1,season,"documentary, special interest"
as1066,3.6,movie,secrets of the dead: the lost gardens of babylon,david allen,jay o. sanders,,2014,g,55,min,documentary
as1067,3.6,tv show,secrets of the castle,,"ruth goodman, peter ginn, tom pinfold",,2014,13+,1,season,"documentary, special interest"
as1068,3.5,movie,secret valley,howard bretherton,"richard arlen, virginia grey, jack mulhall, norman willis, syd saylor, russell hicks, willie fung",,1937,all,57,min,western
as1069,3.6,tv show,secret state,,"gabriel byrne, charles dance, gina mckee, ralph ineson",,2012,tv-14,1,season,"drama, suspense"
as107,3.6,tv show,why i ran,,,,2008,tv-pg,1,season,tv shows
as1070,3.4,tv show,secret life of the hospital bed,,joe duttine,,2017,16+,1,season,"documentary, special interest"
as1071,3.5,movie,secret diary of the holocaust,alex marengo,colin tierney,,2009,16+,50,min,documentary
as1072,3.6,tv show,secret diary of a call girl,,"billie piper, iddo goldberg, cherie lunghi, lily james, ashley madekwe, joanna bobin, james d'arcy, david dawson",,2011,18+,3,season,"drama, romance"
as1073,3.6,movie,secondhand hearts,austin everett,"ben isaacs, mallory corinne, allie rae treharne, jericho lopez, rebecca c. olson, ward wright",,2020,g,95,min,"drama, kids, romance"
as1074,3.5,tv show,second  war diary - the war day by day,,,,2014,tv-nr,1,season,"documentary, special interest"
as1075,3.6,movie,seated yoga level i 13 minutes,mark knight,"anne-marie newland, jamie newland",,2016,all,14,min,"fitness, special interest"
as1076,3.5,tv show,seatbelt psychic,,"lisa cash, thomas john",,2018,tv-pg,1,season,"documentary, drama, unscripted"
as1077,3.5,movie,searching for bobby fischer,steven zaillian,"ben kingsley, joe mantegna, laurence fishburne, joan allen, robert stephens, david paymer, william h. macy, max pomeranc, michael nirenberg, tom mcgowan",,1993,pg,110,min,"drama, young adult audience"
as1078,3.5,movie,searching for augusta: the forgotten angel of bastogne,mike edwards,,,2016,13+,74,min,"documentary, special interest"
as1079,3.6,movie,sean bones: live in concert,,,,2011,nr,29,min,music videos and concerts
as108,3.6,movie,whoop!,kreeti gogia,abish mathew,india,2018,18+,64,min,"arts, entertainment, and culture"
as1080,3.5,tv show,sea power,,,,2005,7+,1,season,documentary
as1081,3.6,movie,sea gypsies,nico edwards,"nico edwards, ayack wanderer, david bowie, clemens gabriel oestreich, peter falck, zach byron-smith, mathias lessman, ole muller",,2016,13+,78,min,"action, documentary, sports"
as1082,3.5,tv show,scrubs,,"zach braff, donald faison, sarah chalke, ken jenkins, john c. mcginley",,2010,tv-14,9,season,comedy
as1083,3.5,tv show,scrapyard supercar,,"shane lynch, ralph hosier",,2019,7+,1,season,"special interest, unscripted"
as1084,3.5,tv show,scott & bailey,,"suranne jones, lesley sharp",,2016,tv-14,5,season,"drama, suspense"
as1085,3.6,movie,scorpio men on prozac,rand marsh,"seth macari, justin hartley, erin cummings, olivier taillieu, cheryl rixon davis, christina romero, luke davis, taylor kinney, nicole brunner, danielle roberts, elexa williams, bradford h. benoit, westley thornton, jeffrey vanderbyl, maurice chasse, jason beaudoin, nina kruse, nick lakind",,2020,16+,107,min,drama
as1086,3.7,tv show,scigirls,,,,2010,nr,1,season,kids
as1087,3.5,movie,school spirits,allison eckert,"tiffany alvord, teala dunn, piper curda, christian delgrosso, audrey whitby, alysia reiner",,2020,13+,89,min,"action, kids"
as1088,3.5,tv show,scenic walks around the world,,michael lumsden,,2008,all,1,season,tv shows
as1089,3.5,tv show,scenery channel,,,,2017,all,1,season,"international, special interest"
as109,3.6,movie,who wrote the new testament?,"caryl ebenezer, j. mervyn williams",,,2016,all,131,min,"drama, special interest"
as1090,3.5,tv show,scaredy squirrel,,"terry mcgurrin, jonathan gould, pat mckenna, linda kash, jayne eastwood, david berni, jamie watson, dwayne hill",,2012,tv-g,4,season,"animation, kids"
as1091,3.5,movie,say yes,stewart wade,"leah mckendrick, patrick zeller, matt pascua, shari belafonte, stefanie estes, alexandra paul, alberto manquero",,2019,18+,95,min,drama
as1092,3.6,movie,sawan ko aane do,kanak mishra,"arun govil, zarina wahab, amrish puri, rita bhaduri, yunus parvez, leela mishra",,1979,all,153,min,"drama, romance"
as1093,3.6,movie,savyasachi,chandoo mondeti,"naga chaitanya, nidhhi agerwal, r. madhavan, bhumika chawla",india,2018,13+,148,min,"action, adventure, international"
as1094,3.6,movie,savoir adore,baeble music,,,2006,nr,34,min,music videos and concerts
as1095,3.6,movie,saving zoë,jeffrey g. hunt,"laura marano, vanessa marano, chris tavarez, giorgia whigham, michael provost, nathaniel buzolic, ken jeong, evan castelloe, annie jacob",,2019,r,95,min,"drama, suspense"
as1096,3.5,movie,saved by grace,johnny remo,"joey lawrence, catalina rodriguez, muse watson",,2015,13+,85,min,"drama, faith and spirituality, kids"
as1097,3.5,movie,sasheer zamata: pizza mind,chioke nassor,sasheer zamata,,2017,18+,73,min,"arts, entertainment, and culture, comedy, special interest"
as1098,3.5,tv show,sas rogue warriors,,,,2018,tv-pg,1,season,"documentary, military and war, special interest"
as1099,3.6,movie,sarah colonna: i can't feel my legs,jay karas,sarah colonna,,2015,g,67,min,"arts, entertainment, and culture, comedy, special interest"
as11,3.6,movie,forest fairies,justin g. dyck,"emily wilder, adrian cowan, gary mckenzie, jeremy ninaber, brenda somers, brian carleton, lora burke, winny clarke, mercedes morris, rebecca perry, emily agard, graham gauthier",canada,2016,g,88,min,"adventure, kids"
as110,3.5,movie,who put the klan into ku klux klan,ian lilley,neil oliver,,2018,13+,59,min,documentary
as1100,3.6,movie,sandpaper,jarett bellucci,"david razor, lori katz, sage croft, kat hands",,2019,16+,72,min,"drama, horror"
as1101,3.6,movie,sand castles,clenét verdi-rose,"jordon hodges, anne winters, randy spence, clint howard",,2014,18+,94,min,drama
as1102,3.5,movie,san fernando valley,john english,"roy rogers, dale evans, jean porter, andrew tombes, bob nolan & the sons of the pioneers, leroy mason",,1944,13+,53,min,western
as1103,3.5,movie,same kind of different as me,michael carney,"greg kinnear, renee zellweger, djimon hounsou, jon voight",united states,2017,pg-13,119,min,drama
as1104,3.6,tv show,salvage: code red,,,,2009,13+,1,season,"adventure, documentary, special interest"
as1105,3.6,movie,salome where she danced,charles lamont,"yvonne de carlo, rod cameron, david bruce, walter slezak, albert dekker",,1945,pg-13,92,min,"action, military and war, suspense"
as1106,3.5,movie,saleslady,arthur greville collins,"anna neagle, harry davenport, kenneth harlan, harry hayden",,1938,13+,63,min,"comedy, drama"
as1107,3.6,movie,sakka podu podu raja,sethuraman,"santhanam, vaibhavi shandilya, vivek, vtv ganesh, sampath",india,2017,13+,124,min,"comedy, drama, international"
as1108,3.5,movie,saints and soldiers: airborne creed,ryan little,"corbin allred, david nibley, jasen wade",,2012,pg-13,95,min,"action, drama"
as1109,3.5,movie,sahil shah’s: childish behaviour,siddharth vasani,sahil shah,,2018,18+,72,min,"arts, entertainment, and culture"
as111,3.5,movie,who killed doc robin,bernard carr,,,1948,nr,52,min,comedy
as1110,3.5,tv show,sagrada reset,,,,2017,tv-14,2,season,"anime, drama"
as1111,3.5,movie,saaho (telugu),sujeeth,"prabhas, shraddha kapoor, murli sharma, arun vijay, neil nitin mukesh",,2019,13+,170,min,"action, international"
as1112,3.6,movie,saaho (tamil),sujeeth,"prabhas, shraddha kapoor, murli sharma, arun vijay, neil nitin mukesh",,2019,13+,170,min,"action, international"
as1113,3.6,movie,saaho (malayalam),sujeeth,"prabhas, shraddha kapoor, murli sharma, arun vijay, neil nitin mukesh",,2019,13+,170,min,"action, international"
as1114,3.5,movie,saaho (kannada),sujeeth,"prabhas, shraddha kapoor, murli sharma, arun vijay, neil nitin mukesh",,2019,13+,169,min,"action, international"
as1115,3.6,movie,ryan shaw,,,,2004,nr,26,min,music videos and concerts
as1116,3.5,movie,ryan bingham live,milton lage,ryan bingham,,2016,pg-13,110,min,music videos and concerts
as1117,3.5,movie,rx100,ajay bhupathi,"kartikeya gummakonda, payal rajput",,2018,18+,148,min,"action, adventure, international"
as1118,3.6,tv show,ruyi's royal love in the palace,,"zhou xun, huo jianhua",,2018,13+,1,season,drama
as1119,3.6,movie,rustum,ravi varma,"shivarajkumar, vivek oberoi, shraddha srinath, rachita ram, harish uttaman, mayuri, j.mahendran, shatru",india,2019,nr,127,min,"action, international"
as112,3.6,movie,whitney cummings: money shot,john fortenberry,whitney cummings,,2010,g,48,min,"arts, entertainment, and culture, comedy, special interest"
as1120,3.5,tv show,russell peters: deported,,russell peters,,2020,16+,1,season,"arts, entertainment, and culture, comedy"
as1121,3.6,movie,rupture,steven stainberg,"noomi rapace, michael chiklis, kerry bishe, peter stormare, lesley manville, jean yoon, percy hynes white, mayko nguyen",,2017,18+,101,min,"horror, science fiction, suspense"
as1122,3.4,movie,running for grace,david l. cunningham,"matt dillon, jim caviezel, ryan potter, olivia ritchie, juliet mills, nick boraine, stelio savante, sara naby kim, peyton dilweg",,2018,g,111,min,"adventure, drama, faith and spirituality"
as1123,3.5,movie,runnin' from my roots,nancy criss,"deana carter, janine turner, patrick muldoon, leigh-allyn baker, aaron o'connell",,2018,g,92,min,"arts, entertainment, and culture, drama, kids"
as1124,3.5,tv show,runaway squad,,,,2010,tv-14,1,season,tv shows
as1125,3.6,movie,rumble: the indians who rocked the world,"catherine bainbridge, alfonso maiorana (co-director)","link wray, george clinton, buffy sainte-marie, martin scorsese, slash, quincy jones",,2017,13+,102,min,"documentary, music videos and concerts"
as1126,3.4,movie,rudy ruettiger: the walk on,nick nanton,"daniel 'rudy' ruettiger, dick vitale, danny wuerffel, pat sarb, terry gannon, larry moriarty, dennis mcgowan, richie contartesi, tim ruettiger, bernie ruettiger, mick ruettiger, john ruettiger, francis ruettiger, bill martinov, mike bonifer, luther snavely, paul bergen, michael danch, ross browner, jeff ross, alan mintz, thomas lowrey",,2018,7+,78,min,"documentary, sports"
as1127,3.5,tv show,rubbadubbers,,"john gordon sinclair, sean hughes, maria darling",,2005,tv-y,4,season,kids
as1128,3.7,movie,rotters,gordon anderson,"frank skinner, sam simmons, phil burgers, john kearns, daniel simonsen, lolly adefope, pat cahill",,2015,13+,22,min,comedy
as1129,3.6,tv show,ross kemp: middle east,,ross kemp,,2010,16+,1,season,tv shows
as113,3.5,tv show,whitechapel,,"rupert penry-jones, phil davis, steve pemberton, claire rushbrook",,2013,tv-14,4,season,"drama, suspense"
as1130,3.6,tv show,rose and maloney,,"sarah lancashire, phil davis, tara fitzgerald, daisy head",,2005,13+,3,season,"drama, suspense"
as1131,3.6,movie,root of the problem,scott sikma,"sergio di zio, claire rankin, jayson therrien, leslie benn, ty loupelle",,2020,7+,95,min,"comedy, drama, special interest"
as1132,3.5,tv show,room at the top,,"matthew mcnulty, maxine peake, jenna louise coleman, kevin mcnally",,2012,18+,1,season,tv shows
as1133,3.6,movie,room 6,michael hurst,"christine taylor, shane brolly, chloe moretz, jerry o'connell",,2006,r,94,min,"horror, suspense"
as1134,3.5,tv show,"ronja, the robber's daughter",,"gillian anderson, theresa gallagher",,2017,7+,1,season,"anime, kids"
as1135,3.5,movie,romola,henry king,"lillian gish, dorothy gish",,1924,nr,118,min,drama
as1136,3.6,tv show,rome - empire without limit,,mary beard,,2016,16+,1,season,"documentary, special interest"
as1137,3.5,movie,romance on the range,joseph kane,"roy rogers, george ""gabby"" hayes, linda hayes, edward pawley, sally payne, harry woods, sons of the pioneers",,1942,13+,53,min,"suspense, western"
as1138,3.5,movie,roman holiday,william wyler,"gregory peck, audrey hepburn, eddie albert",,1953,7+,118,min,"comedy, romance"
as1139,3.7,movie,rolling home,william berke,"jean parker, russell hayden, raymond hatton, pamela blake, buzz henry",,1946,all,68,min,"action, drama, western"
as114,3.5,movie,white tiger,karen shakhnazarov,"aleksey vertkov, vitaliy kishchenko, valeriy grishko",,2021,16+,109,min,"action, science fiction"
as1140,3.5,tv show,rolie polie olie,,"cole caplan, adrian truss, kristen bone, catherine disher",,1998,tv-y,1,season,"animation, kids"
as1141,3.7,tv show,rodeo girls,,"darcy lapier, jessica holmberg, megan etcheberry",,2014,tv-14,1,season,tv shows
as1142,3.5,movie,rodeo & juliet,thadd turner,"krista allen, tim abell, nadine crocker",,2015,7+,88,min,drama
as1143,3.5,tv show,rocky and bullwinkle,,"tara strong as rocky, ben diskin as boris, rachel butera as natasha, brad norman as bullwinkle",,2019,7+,2,season,kids
as1144,3.5,movie,robin hood (silent),allan dwan,"douglas fairbanks sr., enid bennett, wallace beery, alan hale sr.",,1922,13+,121,min,action
as1145,3.5,movie,robert,andrew jones,"lee bane, suzie frances garton, flynn allen",,2015,13+,94,min,"horror, suspense"
as1146,3.6,movie,rob schneider: soy sauce and the holocaust,rob schneider,rob schneider,,2013,18+,60,min,"arts, entertainment, and culture, comedy, special interest"
as1147,3.5,tv show,rob delaney: jackie,,rob delaney,,2020,18+,1,season,"arts, entertainment, and culture, comedy"
as1148,3.5,movie,road dogz,alfredo ramos,"clifton collins jr., greg serano, jacob vargas",,2002,r,96,min,"action, drama"
as1149,3.5,movie,rivers and roads: the head and the heart - live from pike place market,,"jonathan russell, charity rose thielen, matt gervais, chris zasche, kenny hensley, tyler williams",,2020,13+,74,min,music videos and concerts
as115,3.5,movie,white savior: racism in the american church,aaron j. christopher,ashe jaafaru,,2019,16+,62,min,"documentary, faith and spirituality, special interest"
as1150,3.5,tv show,ritual,,,,2017,tv-nr,1,season,"comedy, documentary, sports"
as1151,3.5,movie,rise of the great white shark,andy casagrande,,,2017,all,49,min,"documentary, special interest"
as1152,3.5,movie,right at your door,chris gorak,"mary mccormack, rory cochrane, tony perez, scotty noyd jr.",,2007,r,91,min,"drama, suspense"
as1153,3.5,movie,riders of the whistling pines,john english,"gene autry, patricia barry",,1949,nr,70,min,"action, western"
as1154,3.6,movie,riders of the rockies,robert n. bradbury,"tex ritter, louise stanley, charles king, snub pollard, horace murphy, yakima canutt, martin garralagoa, earl dwire",,1937,all,59,min,western
as1155,3.6,movie,ride,helen hunt,"helen hunt, luke wilson, brenton thwaites",,2015,r,93,min,comedy
as1156,3.6,movie,rickover: the birth of nuclear power,michael pack,tim blake nelson,,2014,g,115,min,documentary
as1157,3.6,tv show,rick steves' europe,,rick steves,,2018,tv-g,4,season,"documentary, special interest"
as1158,3.5,tv show,rick stein's mediterranean escapes,,rick stein,,2007,tv-pg,1,season,special interest
as1159,3.7,tv show,rick stein's long weekends,,rick stein,,2016,tv-pg,1,season,special interest
as116,3.6,tv show,white dragon,,"john simm, anthony wang, emilia fox, katie leung, anthony hayes, tim mcinnerny, tom wu, kae alexander, jason wong, thomas chaanhing, ryan mcken, magdalene bird, max keeble, elliott brough, nick reed, david keeling, rosalind halstead, john moraitis, nicholas bailey, christophe r. tek, chike chan, arthur lee, daniel york, tony ho, orion lee",,2019,16+,1,season,drama
as1160,3.5,tv show,rick stein's india,,rick stein,,2013,13+,1,season,special interest
as1161,3.5,tv show,rick stein's far eastern odyssey,,rick stein,,2009,13+,1,season,special interest
as1162,3.5,movie,rick stein and the japanese ambassador,david pritchard,rick stein,,2006,g,59,min,special interest
as1163,3.5,tv show,richard simmons' dream maker,,richard simmons,,2017,all,1,season,special interest
as1164,3.6,movie,richard pryor: icon,"jodi flynn, brent montgomery",chip bolcik,,2014,13+,55,min,documentary
as1165,3.6,movie,richard lewis: magical misery tour,keith truesdell,richard lewis,,1997,18+,57,min,"arts, entertainment, and culture, comedy, special interest"
as1166,3.5,tv show,richard hammond's crash course,,richard hammond,,2012,13+,2,season,"documentary, special interest"
as1167,3.4,movie,richard hammond meets evel knievel,nigel simpkiss,richard hammond,,2007,g,59,min,"documentary, sports"
as1168,3.5,tv show,rich africans,,"michael blackson, femi lawson, young joc, donnell rawlings, kd aubert, lindsay crolius, paige mcgarvin, jesse porter, nickolas ballard, jenny jackson, jordan elliot, hannah stacey, leah stacey, pihon kalambay, ivor william jallah, giovanni watson, savannah williams, jermain hollman, ali chapman, danielle gato",,2018,13+,1,season,comedy
as1169,3.4,tv show,rhythms of faith,,"mecca morphosis, omar farooq, dan blake, amber azadi, saira khan, denise sanchez, marcellus bassman shepard, amir tobing",,2020,13+,1,season,drama
as117,3.6,movie,whistle stop,leonide moguy,"ava gardner, george raft, victor mclaglen, tom conway, jorja curtright",,1946,13+,84,min,drama
as1170,3.5,movie,rhythm in the clouds,john h. auer,"patricia ellis, warren hull, william newell, richard carle, zeffie tilbury, charles judels, robert paige, joyce compton",,1937,pg,53,min,"arts, entertainment, and culture, comedy, romance"
as1171,3.5,movie,rhymes for kids and babies - spooky halloween songs - mother goose club,sockeye media llc,mother goose club,,2015,all,18,min,kids
as1172,3.5,tv show,rex the runt,,,,2001,tv-pg,2,season,comedy
as1173,3.5,movie,rex the devil horse (silent),fred jackman,"rex the wonder horse, yakima canutt",,1926,nr,53,min,western
as1174,3.5,movie,review: pac-man app review,,,,2017,all,4,min,kids
